图片名,分辨率1,分辨率2,相似性检验结果
CrummockWater_ZH-CN9317792500,768x1280,400x240,0.901805
CrummockWater_ZH-CN9317792500,768x1280,320x240,0.926171
CrummockWater_ZH-CN9317792500,768x1280,240x320,0.908542
UhuRLP_ZH-CN5421658032,768x1280,1920x1080,0.949735
UhuRLP_ZH-CN5421658032,768x1280,1366x768,0.949565
UhuRLP_ZH-CN5421658032,768x1280,1280x768,0.950861
UhuRLP_ZH-CN5421658032,768x1280,1024x768,0.918838
UhuRLP_ZH-CN5421658032,768x1280,800x600,0.93398
UhuRLP_ZH-CN5421658032,768x1280,800x480,0.955373
UhuRLP_ZH-CN5421658032,768x1280,768x1280,1
UhuRLP_ZH-CN5421658032,768x1280,720x1280,0.99664
UhuRLP_ZH-CN5421658032,768x1280,640x480,0.936948
UhuRLP_ZH-CN5421658032,768x1280,480x800,0.984423
UhuRLP_ZH-CN5421658032,768x1280,400x240,0.941119
UhuRLP_ZH-CN5421658032,768x1280,320x240,0.946125
UhuRLP_ZH-CN5421658032,768x1280,240x320,0.973371
SwiftFox_ZH-CN9413097062,768x1280,1920x1080,0.941407
SwiftFox_ZH-CN9413097062,768x1280,1366x768,0.941
SwiftFox_ZH-CN9413097062,768x1280,1280x768,0.944298
SwiftFox_ZH-CN9413097062,768x1280,1024x768,0.920643
SwiftFox_ZH-CN9413097062,768x1280,800x600,0.932449
SwiftFox_ZH-CN9413097062,768x1280,800x480,0.70745
SwiftFox_ZH-CN9413097062,768x1280,768x1280,1
SwiftFox_ZH-CN9413097062,768x1280,720x1280,0.999233
SwiftFox_ZH-CN9413097062,768x1280,640x480,0.937201
SwiftFox_ZH-CN9413097062,768x1280,480x800,0.763223
SwiftFox_ZH-CN9413097062,768x1280,400x240,0.705199
SwiftFox_ZH-CN9413097062,768x1280,320x240,0.939006
SwiftFox_ZH-CN9413097062,768x1280,240x320,0.833073
ApostleIslands_ZH-CN9543695883,768x1280,1920x1080,0.89289
ApostleIslands_ZH-CN9543695883,768x1280,1366x768,0.904068
ApostleIslands_ZH-CN9543695883,768x1280,1280x768,0.908674
ApostleIslands_ZH-CN9543695883,768x1280,1024x768,0.912989
ApostleIslands_ZH-CN9543695883,768x1280,800x600,0.925261
ApostleIslands_ZH-CN9543695883,768x1280,800x480,0.912362
ApostleIslands_ZH-CN9543695883,768x1280,768x1280,1
ApostleIslands_ZH-CN9543695883,768x1280,720x1280,0.99771
ApostleIslands_ZH-CN9543695883,768x1280,640x480,0.928405
ApostleIslands_ZH-CN9543695883,768x1280,480x800,0.957468
ApostleIslands_ZH-CN9543695883,768x1280,400x240,0.905938
ApostleIslands_ZH-CN9543695883,768x1280,320x240,0.925194
ApostleIslands_ZH-CN9543695883,768x1280,240x320,0.96308
WhiteStorksNest_ZH-CN9809680903,768x1280,1920x1080,0.808608
WhiteStorksNest_ZH-CN9809680903,768x1280,1366x768,0.854901
WhiteStorksNest_ZH-CN9809680903,768x1280,1280x768,0.855067
WhiteStorksNest_ZH-CN9809680903,768x1280,1024x768,0.8795
WhiteStorksNest_ZH-CN9809680903,768x1280,800x600,0.875054
WhiteStorksNest_ZH-CN9809680903,768x1280,800x480,0.892631
WhiteStorksNest_ZH-CN9809680903,768x1280,768x1280,1
WhiteStorksNest_ZH-CN9809680903,768x1280,720x1280,0.999701
WhiteStorksNest_ZH-CN9809680903,768x1280,640x480,0.87
WhiteStorksNest_ZH-CN9809680903,768x1280,480x800,0.920153
