图片1名,图片2名,分辨率,相似性检验结果
2019-07-26_ElkFallsBridge_ZH-CN3921681387_800x600.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_800x600_Similarity.jpg,800x600,0.975969
2019-07-26_ElkFallsBridge_ZH-CN3921681387_800x480.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_800x480_Similarity.jpg,800x480,0.96646
2019-07-26_ElkFallsBridge_ZH-CN3921681387_768x1280.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_768x1280_Similarity.jpg,768x1280,0.975541
2019-07-26_ElkFallsBridge_ZH-CN3921681387_640x480.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_640x480_Similarity.jpg,640x480,0.965645
2019-07-26_ElkFallsBridge_ZH-CN3921681387_480x800.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_480x800_Similarity.jpg,480x800,0.935342
2019-07-26_ElkFallsBridge_ZH-CN3921681387_400x240.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_400x240_Similarity.jpg,400x240,0.885521
2019-07-26_ElkFallsBridge_ZH-CN3921681387_240x320.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_240x320_Similarity.jpg,240x320,0.81857
2019-07-27_CahuitaNP_ZH-CN3985565209_1920x1080.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_1920x1080_Similarity.jpg,1920x1080,0.987742
2019-07-27_CahuitaNP_ZH-CN3985565209_1366x768.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_1366x768_Similarity.jpg,1366x768,0.979026
2019-07-27_CahuitaNP_ZH-CN3985565209_1280x768.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_1280x768_Similarity.jpg,1280x768,0.980816
2019-07-27_CahuitaNP_ZH-CN3985565209_1024x768.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_1024x768_Similarity.jpg,1024x768,0.959493
2019-07-27_CahuitaNP_ZH-CN3985565209_800x600.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_800x600_Similarity.jpg,800x600,0.960982
2019-07-27_CahuitaNP_ZH-CN3985565209_800x480.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_800x480_Similarity.jpg,800x480,0.94846
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280_Similarity.jpg,768x1280,0.969393
2019-07-27_CahuitaNP_ZH-CN3985565209_720x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_720x1280_Similarity.jpg,720x1280,0.963239
2019-07-27_CahuitaNP_ZH-CN3985565209_640x480.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_640x480_Similarity.jpg,640x480,0.935435
2019-07-27_CahuitaNP_ZH-CN3985565209_480x800.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_480x800_Similarity.jpg,480x800,0.932922
2019-07-27_CahuitaNP_ZH-CN3985565209_400x240.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_400x240_Similarity.jpg,400x240,0.828557
2019-07-27_CahuitaNP_ZH-CN3985565209_320x240.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_320x240_Similarity.jpg,320x240,0.833222
2019-07-27_CahuitaNP_ZH-CN3985565209_240x320.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_240x320_Similarity.jpg,240x320,0.848813
2019-07-28_PuffinSkomer_ZH-CN4039641381_1920x1080.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1920x1080_Similarity.jpg,1920x1080,0.97816
2019-07-28_PuffinSkomer_ZH-CN4039641381_1366x768.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1366x768_Similarity.jpg,1366x768,0.969611
2019-07-28_PuffinSkomer_ZH-CN4039641381_1280x768.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1280x768_Similarity.jpg,1280x768,0.964216
2019-07-28_PuffinSkomer_ZH-CN4039641381_1024x768.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1024x768_Similarity.jpg,1024x768,0.954343
2019-07-28_PuffinSkomer_ZH-CN4039641381_800x600.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_800x600_Similarity.jpg,800x600,0.938651
2019-07-28_PuffinSkomer_ZH-CN4039641381_800x480.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_800x480_Similarity.jpg,800x480,0.954528
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280_Similarity.jpg,768x1280,0.966095
2019-07-28_PuffinSkomer_ZH-CN4039641381_720x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_720x1280_Similarity.jpg,720x1280,0.962941
2019-07-28_PuffinSkomer_ZH-CN4039641381_640x480.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_640x480_Similarity.jpg,640x480,0.939718
2019-07-28_PuffinSkomer_ZH-CN4039641381_480x800.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_480x800_Similarity.jpg,480x800,0.920585
2019-07-28_PuffinSkomer_ZH-CN4039641381_400x240.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_400x240_Similarity.jpg,400x240,0.896386
2019-07-28_PuffinSkomer_ZH-CN4039641381_320x240.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_320x240_Similarity.jpg,320x240,0.868854
2019-07-28_PuffinSkomer_ZH-CN4039641381_240x320.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_240x320_Similarity.jpg,240x320,0.83056
2019-07-29_TrilliumLake_ZH-CN4079462365_1920x1080.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1920x1080_Similarity.jpg,1920x1080,0.98327
2019-07-29_TrilliumLake_ZH-CN4079462365_1366x768.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1366x768_Similarity.jpg,1366x768,0.968451
2019-07-29_TrilliumLake_ZH-CN4079462365_1280x768.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1280x768_Similarity.jpg,1280x768,0.970541
2019-07-29_TrilliumLake_ZH-CN4079462365_1024x768.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1024x768_Similarity.jpg,1024x768,0.981531
2019-07-29_TrilliumLake_ZH-CN4079462365_800x600.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_800x600_Similarity.jpg,800x600,0.976759
2019-07-29_TrilliumLake_ZH-CN4079462365_800x480.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_800x480_Similarity.jpg,800x480,0.947732
2019-07-29_TrilliumLake_ZH-CN4079462365_768x1280.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_768x1280_Similarity.jpg,768x1280,0.965627
2019-07-29_TrilliumLake_ZH-CN4079462365_720x1280.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_720x1280_Similarity.jpg,720x1280,0.967634
2019-07-29_TrilliumLake_ZH-CN4079462365_640x480.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_640x480_Similarity.jpg,640x480,0.966543
2019-07-29_TrilliumLake_ZH-CN4079462365_480x800.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_480x800_Similarity.jpg,480x800,0.929204
2019-07-29_TrilliumLake_ZH-CN4079462365_400x240.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_400x240_Similarity.jpg,400x240,0.824867
2019-07-29_TrilliumLake_ZH-CN4079462365_320x240.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_320x240_Similarity.jpg,320x240,0.912942
2019-07-29_TrilliumLake_ZH-CN4079462365_240x320.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_240x320_Similarity.jpg,240x320,0.828905
2019-07-30_TortoiseMigration_ZH-CN4128473636_1920x1080.jpg,2019-07-30_TortoiseMigration_ZH-CN4128473636_1920x1080_Similarity.jpg,1920x1080,0.991145
